programming_skill,math_skill,communication_skill,logic_score,cgpa,aptitude_score,interest_area,career
1,8,7,5,7.3,84,Coding,Business Analytics
8,7,9,1,5.6,93,Business,Business Analytics
7,10,7,7,7.8,48,Data,Business Analytics
5,10,6,5,5.8,55,AI/ML,Machine Learning
5,8,5,8,5.3,42,Management,Machine Learning
9,4,3,7,7.5,69,Coding,Software Development
1,6,3,8,8.3,70,Security,Cybersecurity
7,5,8,5,9.3,41,Design,UI/UX Design
3,7,1,1,8.9,80,Security,Machine Learning
1,9,1,2,9.3,40,Security,Machine Learning
6,4,4,5,8.8,88,Design,Business Analytics
10,6,8,4,8.5,83,Security,Machine Learning
8,1,7,8,5.1,89,Business,Machine Learning
8,8,6,5,8.1,47,Design,UI/UX Design
8,5,6,9,5.6,93,Management,Software Development
8,5,2,2,5.3,73,AI/ML,Machine Learning
6,6,4,4,5.8,92,Business,Machine Learning
2,3,1,8,9.1,82,AI/ML,Software Development
9,6,8,2,8.7,80,Design,UI/UX Design
5,8,8,4,9.7,41,Security,Business Analytics
6,4,3,8,9.9,82,AI/ML,Software Development
4,2,3,6,9.5,67,Design,Software Development
2,4,4,8,5.7,91,Networking,Cybersecurity
10,2,9,6,9.4,81,Security,Software Development
8,4,5,9,9.2,44,Coding,Software Development
7,7,8,9,9.4,94,Coding,Software Development
5,2,5,10,5.8,43,AI/ML,Software Development
9,8,7,2,5.6,58,Networking,Machine Learning
6,3,6,6,9.6,53,Networking,Cloud Engineering
5,9,3,2,5.9,99,Management,Machine Learning
5,8,9,3,6.8,49,Networking,Business Analytics
3,3,8,4,7.3,91,Coding,Product Management
1,6,8,7,5.6,53,Data,Business Analytics
6,2,10,5,5.1,79,AI/ML,Product Management
9,1,3,9,10.0,45,Business,Software Development
1,10,1,3,9.4,63,Data,Business Analytics
9,9,6,7,9.6,78,Business,Business Analytics
9,2,4,8,6.4,83,Design,Software Development
3,3,5,10,6.1,93,Networking,Cybersecurity
7,2,3,3,7.1,89,Management,Software Development
2,4,4,8,7.3,71,Business,Software Development
8,3,4,1,5.0,58,Management,Machine Learning
8,4,4,6,8.9,55,Data,Machine Learning
4,6,8,5,10.0,100,Data,Business Analytics
1,2,6,10,7.6,77,Coding,Software Development
10,9,5,8,6.9,95,AI/ML,Data Science
5,8,2,10,7.0,66,Data,Machine Learning
9,8,6,9,5.5,69,Networking,Cloud Engineering
